I_uA,STP_pos_mV,STP_neg_mV,STP_sym_mV,n_pos,n_neg,file_pos,file_neg
0.0,-2.0887905963204103,-2.0887905963204103,0.0,20,20,STP_VGKm20.00_Ip0uA00001.dat,STP_VGKm20.00_Ip0uA00001.dat
5.0,-3.4259964390528856,-0.748742637695,0.0014210579464672968,20,20,STP_VGKm20.00_Ip5uA00001.dat,STP_VGKm20.00_Im5uA00001.dat
10.0,-4.8793270339128005,0.6393922264371913,-0.031176807417394148,20,20,STP_VGKm20.00_Ip10uA00001.dat,STP_VGKm20.00_Im10uA00001.dat
15.0,-6.220830695892033,2.0786681954587096,0.017709346103748302,20,20,STP_VGKm20.00_Ip15uA00001.dat,STP_VGKm20.00_Im15uA00001.dat
20.0,-7.581477432898742,3.4998233029742862,0.04796353135818254,20,20,STP_VGKm20.00_Ip20uA00001.dat,STP_VGKm20.00_Im20uA00001.dat
25.0,-8.901272134253306,4.922101489832818,0.09920527411016655,20,20,STP_VGKm20.00_Ip25uA00001.dat,STP_VGKm20.00_Im25uA00001.dat
30.0,-10.29250730840739,6.361852899886595,0.12346339206001256,20,20,STP_VGKm20.00_Ip30uA00001.dat,STP_VGKm20.00_Im30uA00001.dat
35.0,-11.623903971486401,7.723357423418181,0.13851732228630054,20,20,STP_VGKm20.00_Ip35uA00001.dat,STP_VGKm20.00_Im35uA00001.dat
40.0,-12.960405614705515,9.149279760462974,0.18322766919914013,20,20,STP_VGKm20.00_Ip40uA00001.dat,STP_VGKm20.00_Im40uA00001.dat
45.0,-14.298234500218188,10.484636014352372,0.18199135338750239,20,20,STP_VGKm20.00_Ip45uA00001.dat,STP_VGKm20.00_Im45uA00001.dat
50.0,-15.647208217988737,11.922164170041267,0.22626857234667508,20,20,STP_VGKm20.00_Ip50uA00001.dat,STP_VGKm20.00_Im50uA00001.dat
55.0,-17.05774074445757,13.273483879265745,0.19666216372449874,20,20,STP_VGKm20.00_Ip55uA00001.dat,STP_VGKm20.00_Im55uA00001.dat
60.0,-18.46518672036369,14.660998307032122,0.18669638965462632,20,20,STP_VGKm20.00_Ip60uA00001.dat,STP_VGKm20.00_Im60uA00001.dat
65.0,-19.76488821375986,15.995312799212805,0.20400288904688235,20,20,STP_VGKm20.00_Ip65uA00001.dat,STP_VGKm20.00_Im65uA00001.dat
70.0,-21.202033709841746,17.39102549827268,0.18328649053587664,20,20,STP_VGKm20.00_Ip70uA00001.dat,STP_VGKm20.00_Im70uA00001.dat
75.0,-22.53177359365721,18.806732742051434,0.2262701705175223,20,20,STP_VGKm20.00_Ip75uA00001.dat,STP_VGKm20.00_Im75uA00001.dat
80.0,-23.912607611683534,20.13751592946726,0.20124475521227314,20,20,STP_VGKm20.00_Ip80uA00001.dat,STP_VGKm20.00_Im80uA00001.dat
85.0,-25.280053627238704,21.498697259014502,0.19811241220830933,20,20,STP_VGKm20.00_Ip85uA00001.dat,STP_VGKm20.00_Im85uA00001.dat
90.0,-26.63658538044407,22.836222745330783,0.18860927876376632,20,20,STP_VGKm20.00_Ip90uA00001.dat,STP_VGKm20.00_Im90uA00001.dat
