I_uA,STP_pos_mV,STP_neg_mV,STP_sym_mV,n_pos,n_neg,file_pos,file_neg
195.0,-58.40810617505768,54.087375189116024,-0.6891578838547037,40,40,STP_VGKm5.00_Ip195uA00001.dat,STP_VGKm5.00_Im195uA00001.dat
200.0,-59.91732471791257,55.53318685508047,-0.7208613222999236,40,40,STP_VGKm5.00_Ip200uA00001.dat,STP_VGKm5.00_Im200uA00001.dat
205.0,-61.516105098879635,56.9812804880254,-0.796204696310993,40,40,STP_VGKm5.00_Ip205uA00001.dat,STP_VGKm5.00_Im205uA00001.dat
210.0,-63.018028697453914,58.40543232315928,-0.8350905780311908,40,40,STP_VGKm5.00_Ip210uA00001.dat,STP_VGKm5.00_Im210uA00001.dat
215.0,-64.60981191270047,59.775345341008446,-0.946025676729884,40,40,STP_VGKm5.00_Ip215uA00001.dat,STP_VGKm5.00_Im215uA00001.dat
220.0,-66.16279516603292,61.20925561071887,-1.0055621685409004,40,40,STP_VGKm5.00_Ip220uA00001.dat,STP_VGKm5.00_Im220uA00001.dat
225.0,-67.73602628104817,62.798850290346486,-0.9973803862347157,40,40,STP_VGKm5.00_Ip225uA00001.dat,STP_VGKm5.00_Im225uA00001.dat
230.0,-69.29963913580562,64.24547036474303,-1.0558767764151706,40,40,STP_VGKm5.00_Ip230uA00001.dat,STP_VGKm5.00_Im230uA00001.dat
235.0,-70.85889057441366,65.73819888721515,-1.0891382344831324,40,40,STP_VGKm5.00_Ip235uA00001.dat,STP_VGKm5.00_Im235uA00001.dat
240.0,-72.4382886062432,67.22518634274655,-1.1353435226322002,40,40,STP_VGKm5.00_Ip240uA00001.dat,STP_VGKm5.00_Im240uA00001.dat
245.0,-74.15940793501653,68.5432024156469,-1.336895150568689,40,40,STP_VGKm5.00_Ip245uA00001.dat,STP_VGKm5.00_Im245uA00001.dat
250.0,-75.69775478345947,69.93682333973041,-1.4092581127484063,40,40,STP_VGKm5.00_Ip250uA00001.dat,STP_VGKm5.00_Im250uA00001.dat
