I_uA,STP_pos_mV,STP_neg_mV,STP_sym_mV,n_pos,n_neg,file_pos,file_neg
0.0,-1.8540723977865794,-1.8540723977865794,0.0,40,40,STP_VGKp40.00_Ip0uA00001.dat,STP_VGKp40.00_Ip0uA00001.dat
5.0,-2.681601103394917,-1.0375342306617208,-0.005495269241739598,40,40,STP_VGKp40.00_Ip5uA00001.dat,STP_VGKp40.00_Im5uA00001.dat
10.0,-3.550377303871438,-0.20684873760860242,-0.024540622953440838,40,40,STP_VGKp40.00_Ip10uA00001.dat,STP_VGKp40.00_Im10uA00001.dat
15.0,-4.384696340420879,0.7104662662410335,0.016957360696656654,40,40,STP_VGKp40.00_Ip15uA00001.dat,STP_VGKp40.00_Im15uA00001.dat
20.0,-5.219608974021087,1.521842841030115,0.005189331291093557,40,40,STP_VGKp40.00_Ip20uA00001.dat,STP_VGKp40.00_Im20uA00001.dat
25.0,-6.015147989518249,2.36410387509248,0.028550340573694655,40,40,STP_VGKp40.00_Ip25uA00001.dat,STP_VGKp40.00_Im25uA00001.dat
30.0,-6.919443682817474,3.1923181670434357,-0.009490360100439688,40,40,STP_VGKp40.00_Ip30uA00001.dat,STP_VGKp40.00_Im30uA00001.dat
35.0,-7.70683844414424,3.99407530308931,-0.00230917274088549,40,40,STP_VGKp40.00_Ip35uA00001.dat,STP_VGKp40.00_Im35uA00001.dat
40.0,-8.596374980568443,4.886212775598744,-0.0010087046982703018,40,40,STP_VGKp40.00_Ip40uA00001.dat,STP_VGKp40.00_Im40uA00001.dat
45.0,-9.362885453709762,5.693952469892972,0.01960590587818456,40,40,STP_VGKp40.00_Ip45uA00001.dat,STP_VGKp40.00_Im45uA00001.dat
50.0,-10.197856649555735,6.571342509745686,0.04081532788155484,40,40,STP_VGKp40.00_Ip50uA00001.dat,STP_VGKp40.00_Im50uA00001.dat
55.0,-11.084459906693278,7.3684467502247495,-0.0039341804476846765,40,40,STP_VGKp40.00_Ip55uA00001.dat,STP_VGKp40.00_Im55uA00001.dat
60.0,-11.927241711960303,8.232178034288752,0.006540558950804298,40,40,STP_VGKp40.00_Ip60uA00001.dat,STP_VGKp40.00_Im60uA00001.dat
65.0,-12.74650047158479,9.060794204885404,0.011219264436886478,40,40,STP_VGKp40.00_Ip65uA00001.dat,STP_VGKp40.00_Im65uA00001.dat
70.0,-13.562857471343262,9.874444186052957,0.009865755141426513,40,40,STP_VGKp40.00_Ip70uA00001.dat,STP_VGKp40.00_Im70uA00001.dat
75.0,-14.406631030198326,10.7191821704125,0.01034796789366621,40,40,STP_VGKp40.00_Ip75uA00001.dat,STP_VGKp40.00_Im75uA00001.dat
80.0,-15.238945755901918,11.534042443800928,0.0016207417360842857,40,40,STP_VGKp40.00_Ip80uA00001.dat,STP_VGKp40.00_Im80uA00001.dat
85.0,-16.09476468163191,12.382517167786357,-0.0020513591361976946,40,40,STP_VGKp40.00_Ip85uA00001.dat,STP_VGKp40.00_Im85uA00001.dat
90.0,-16.943576005294492,13.203840783544223,-0.01579521308855525,40,40,STP_VGKp40.00_Ip90uA00001.dat,STP_VGKp40.00_Im90uA00001.dat
95.0,-17.717386129454624,14.03056641711256,0.01066254161554725,40,40,STP_VGKp40.00_Ip95uA00001.dat,STP_VGKp40.00_Im95uA00001.dat
100.0,-18.636530787075902,14.873917136494596,-0.027234427504073677,40,40,STP_VGKp40.00_Ip100uA00001.dat,STP_VGKp40.00_Im100uA00001.dat
105.0,-19.439599571912645,15.751618171629525,0.01008169764501976,40,40,STP_VGKp40.00_Ip105uA00001.dat,STP_VGKp40.00_Im105uA00001.dat
110.0,-20.301318207819524,16.603537188569998,0.005181888161816639,40,40,STP_VGKp40.00_Ip110uA00001.dat,STP_VGKp40.00_Im110uA00001.dat
115.0,-21.157796806395734,17.400075520132138,-0.024788245345218618,40,40,STP_VGKp40.00_Ip115uA00001.dat,STP_VGKp40.00_Im115uA00001.dat
120.0,-21.99796769608465,18.240363000553064,-0.02472994997921396,40,40,STP_VGKp40.00_Ip120uA00001.dat,STP_VGKp40.00_Im120uA00001.dat
125.0,-22.821140881821332,19.10449351216452,-0.004251287041826535,40,40,STP_VGKp40.00_Ip125uA00001.dat,STP_VGKp40.00_Im125uA00001.dat
130.0,-23.6626312101464,19.863321549217687,-0.045582432677777396,40,40,STP_VGKp40.00_Ip130uA00001.dat,STP_VGKp40.00_Im130uA00001.dat
135.0,-24.50839927681199,20.72339592954639,-0.03842927584622102,40,40,STP_VGKp40.00_Ip135uA00001.dat,STP_VGKp40.00_Im135uA00001.dat
140.0,-25.35095765235364,21.538265583586515,-0.052273636596982476,40,40,STP_VGKp40.00_Ip140uA00001.dat,STP_VGKp40.00_Im140uA00001.dat
145.0,-26.185009241374857,22.412263027902437,-0.03230070894963055,40,40,STP_VGKp40.00_Ip145uA00001.dat,STP_VGKp40.00_Im145uA00001.dat
150.0,-27.0129449546426,23.232897733943076,-0.03595121256318179,40,40,STP_VGKp40.00_Ip150uA00001.dat,STP_VGKp40.00_Im150uA00001.dat
155.0,-27.872803963013858,24.07254953392019,-0.04605481676025547,40,40,STP_VGKp40.00_Ip155uA00001.dat,STP_VGKp40.00_Im155uA00001.dat
160.0,-28.70312028661044,24.895140910857062,-0.04991729009010881,40,40,STP_VGKp40.00_Ip160uA00001.dat,STP_VGKp40.00_Im160uA00001.dat
165.0,-29.524361015496755,25.709892770820723,-0.05316172455143664,40,40,STP_VGKp40.00_Ip165uA00001.dat,STP_VGKp40.00_Im165uA00001.dat
170.0,-30.366380582506235,26.5380692897185,-0.060083248607287976,40,40,STP_VGKp40.00_Ip170uA00001.dat,STP_VGKp40.00_Im170uA00001.dat
175.0,-31.22262783442243,27.38939140345706,-0.06254581769610446,40,40,STP_VGKp40.00_Ip175uA00001.dat,STP_VGKp40.00_Im175uA00001.dat
180.0,-32.05802095692682,28.194546138792298,-0.0776650112806807,40,40,STP_VGKp40.00_Ip180uA00001.dat,STP_VGKp40.00_Im180uA00001.dat
185.0,-32.896784813361435,29.040225496259993,-0.07420726076414197,40,40,STP_VGKp40.00_Ip185uA00001.dat,STP_VGKp40.00_Im185uA00001.dat
190.0,-33.6872687155847,29.83331124815587,-0.07290633592783613,40,40,STP_VGKp40.00_Ip190uA00001.dat,STP_VGKp40.00_Im190uA00001.dat
195.0,-34.575861382214065,30.679018641547177,-0.09434897254686425,40,40,STP_VGKp40.00_Ip195uA00001.dat,STP_VGKp40.00_Im195uA00001.dat
200.0,-35.41836836466155,31.52361453273718,-0.09330451817560692,40,40,STP_VGKp40.00_Ip200uA00001.dat,STP_VGKp40.00_Im200uA00001.dat
205.0,-36.27622424115196,32.35533595973144,-0.10637174292367901,40,40,STP_VGKp40.00_Ip205uA00001.dat,STP_VGKp40.00_Im205uA00001.dat
210.0,-37.0807929152227,33.166354143155665,-0.10314698824693891,40,40,STP_VGKp40.00_Ip210uA00001.dat,STP_VGKp40.00_Im210uA00001.dat
215.0,-37.947404148131454,33.97378638236435,-0.13273648509697167,40,40,STP_VGKp40.00_Ip215uA00001.dat,STP_VGKp40.00_Im215uA00001.dat
220.0,-38.77727859409851,34.7746532150277,-0.14724029174882758,40,40,STP_VGKp40.00_Ip220uA00001.dat,STP_VGKp40.00_Im220uA00001.dat
225.0,-39.63306436702738,35.671079428159395,-0.12692007164741326,40,40,STP_VGKp40.00_Ip225uA00001.dat,STP_VGKp40.00_Im225uA00001.dat
230.0,-40.45563624028049,36.445002337382775,-0.15124455366227862,40,40,STP_VGKp40.00_Ip230uA00001.dat,STP_VGKp40.00_Im230uA00001.dat
235.0,-41.31679734850304,37.293109601527114,-0.1577714757013824,40,40,STP_VGKp40.00_Ip235uA00001.dat,STP_VGKp40.00_Im235uA00001.dat
240.0,-42.1022880648455,38.11275774638479,-0.1406927614437785,40,40,STP_VGKp40.00_Ip240uA00001.dat,STP_VGKp40.00_Im240uA00001.dat
245.0,-42.981627034695286,38.98079805857584,-0.14634209027314227,40,40,STP_VGKp40.00_Ip245uA00001.dat,STP_VGKp40.00_Im245uA00001.dat
250.0,-43.78213712557313,39.72316170267579,-0.17541531366209084,40,40,STP_VGKp40.00_Ip250uA00001.dat,STP_VGKp40.00_Im250uA00001.dat
