I_uA,STP_pos_mV,STP_neg_mV,STP_sym_mV,n_pos,n_neg,file_pos,file_neg
0.0,-1.2145346988442984,-1.2145346988442984,0.0,20,20,STP_VGKm10.00_Ip0uA00001.dat,STP_VGKm10.00_Ip0uA00001.dat
5.0,-3.20597283735474,0.5626324661664789,-0.10713548674983198,20,20,STP_VGKm10.00_Ip5uA00001.dat,STP_VGKm10.00_Im5uA00001.dat
10.0,-5.274674867484439,2.397592601646552,-0.22400643407464504,20,20,STP_VGKm10.00_Ip10uA00001.dat,STP_VGKm10.00_Im10uA00001.dat
15.0,-7.251479419979227,4.254454748448742,-0.28397763692094413,20,20,STP_VGKm10.00_Ip15uA00001.dat,STP_VGKm10.00_Im15uA00001.dat
20.0,-9.271111009048068,6.135300300058574,-0.35337065565044856,20,20,STP_VGKm10.00_Ip20uA00001.dat,STP_VGKm10.00_Im20uA00001.dat
25.0,-11.196944503701456,8.013871731729052,-0.3770016871419033,20,20,STP_VGKm10.00_Ip25uA00001.dat,STP_VGKm10.00_Im25uA00001.dat
30.0,-13.217037591193481,9.953135384266577,-0.4174164046191535,20,20,STP_VGKm10.00_Ip30uA00001.dat,STP_VGKm10.00_Im30uA00001.dat
35.0,-15.13708930804997,11.83110458307751,-0.43845766364193217,20,20,STP_VGKm10.00_Ip35uA00001.dat,STP_VGKm10.00_Im35uA00001.dat
40.0,-17.107215542287175,13.822000949674386,-0.428072597462096,20,20,STP_VGKm10.00_Ip40uA00001.dat,STP_VGKm10.00_Im40uA00001.dat
45.0,-19.04907806150014,15.847630892994596,-0.3861888854084734,20,20,STP_VGKm10.00_Ip45uA00001.dat,STP_VGKm10.00_Im45uA00001.dat
50.0,-21.010279888619145,17.86889897751545,-0.3561557567075493,20,20,STP_VGKm10.00_Ip50uA00001.dat,STP_VGKm10.00_Im50uA00001.dat
55.0,-23.01272361587168,19.82209738677735,-0.3807784157028653,20,20,STP_VGKm10.00_Ip55uA00001.dat,STP_VGKm10.00_Im55uA00001.dat
60.0,-25.000663748263403,21.82969384108346,-0.3709502547456722,20,20,STP_VGKm10.00_Ip60uA00001.dat,STP_VGKm10.00_Im60uA00001.dat
65.0,-26.96184366567909,23.77397155082576,-0.379401358582367,20,20,STP_VGKm10.00_Ip65uA00001.dat,STP_VGKm10.00_Im65uA00001.dat
70.0,-28.92260387944408,25.782651532164465,-0.3554414747955086,20,20,STP_VGKm10.00_Ip70uA00001.dat,STP_VGKm10.00_Im70uA00001.dat
75.0,-31.006301127086857,27.81717345187862,-0.38002913875982003,20,20,STP_VGKm10.00_Ip75uA00001.dat,STP_VGKm10.00_Im75uA00001.dat
80.0,-33.0580734529125,29.8233523934006,-0.40282583091165236,20,20,STP_VGKm10.00_Ip80uA00001.dat,STP_VGKm10.00_Im80uA00001.dat
85.0,-35.092215242830655,31.826168139812456,-0.41848885266480096,20,20,STP_VGKm10.00_Ip85uA00001.dat,STP_VGKm10.00_Im85uA00001.dat
90.0,-37.20525381368706,33.857507194816705,-0.4593386105908781,20,20,STP_VGKm10.00_Ip90uA00001.dat,STP_VGKm10.00_Im90uA00001.dat
95.0,-39.305370419709455,35.92177254266756,-0.4772642396766482,20,20,STP_VGKm10.00_Ip95uA00001.dat,STP_VGKm10.00_Im95uA00001.dat
100.0,-41.49633092080967,37.96006473599162,-0.5535983935647248,20,20,STP_VGKm10.00_Ip100uA00001.dat,STP_VGKm10.00_Im100uA00001.dat
105.0,-43.65832766064641,40.06145637095362,-0.5839009460020943,20,20,STP_VGKm10.00_Ip105uA00001.dat,STP_VGKm10.00_Im105uA00001.dat
110.0,-45.79627975828262,42.08231939445613,-0.6424454830689488,20,20,STP_VGKm10.00_Ip110uA00001.dat,STP_VGKm10.00_Im110uA00001.dat
115.0,-48.0043297205285,44.200090943084874,-0.6875846898775162,20,20,STP_VGKm10.00_Ip115uA00001.dat,STP_VGKm10.00_Im115uA00001.dat
120.0,-50.25141936640277,46.20605764260426,-0.8081461630549587,20,20,STP_VGKm10.00_Ip120uA00001.dat,STP_VGKm10.00_Im120uA00001.dat
125.0,-52.475109031932966,48.244177167212555,-0.900931233515907,20,20,STP_VGKm10.00_Ip125uA00001.dat,STP_VGKm10.00_Im125uA00001.dat
130.0,-54.68687861019842,50.21804938347482,-1.0198799145175013,20,20,STP_VGKm10.00_Ip130uA00001.dat,STP_VGKm10.00_Im130uA00001.dat
135.0,-56.974617871590105,52.34761667982865,-1.0989658970364307,20,20,STP_VGKm10.00_Ip135uA00001.dat,STP_VGKm10.00_Im135uA00001.dat
140.0,-59.27607963938514,54.4804728906374,-1.18326867552957,20,20,STP_VGKm10.00_Ip140uA00001.dat,STP_VGKm10.00_Im140uA00001.dat
145.0,-61.48470383314004,56.58787318694339,-1.2338806242540254,20,20,STP_VGKm10.00_Ip145uA00001.dat,STP_VGKm10.00_Im145uA00001.dat
150.0,-63.769751356721486,58.760268970237945,-1.2902064943974718,20,20,STP_VGKm10.00_Ip150uA00001.dat,STP_VGKm10.00_Im150uA00001.dat
155.0,-66.04887115631823,60.86214478762648,-1.378828485501577,20,20,STP_VGKm10.00_Ip155uA00001.dat,STP_VGKm10.00_Im155uA00001.dat
160.0,-68.37800937423661,63.01557160142199,-1.466684187563013,20,20,STP_VGKm10.00_Ip160uA00001.dat,STP_VGKm10.00_Im160uA00001.dat
165.0,-70.59164223699942,65.22069246437633,-1.4709401874672476,20,20,STP_VGKm10.00_Ip165uA00001.dat,STP_VGKm10.00_Im165uA00001.dat
170.0,-72.91342491672262,67.32857070135879,-1.5778924088376183,20,20,STP_VGKm10.00_Ip170uA00001.dat,STP_VGKm10.00_Im170uA00001.dat
175.0,-75.28519017410414,69.45583358752287,-1.7001435944463363,20,20,STP_VGKm10.00_Ip175uA00001.dat,STP_VGKm10.00_Im175uA00001.dat
180.0,-77.60677958924576,71.6488315715956,-1.7644393099807854,20,20,STP_VGKm10.00_Ip180uA00001.dat,STP_VGKm10.00_Im180uA00001.dat
185.0,-79.81818096735836,73.66594991278376,-1.8615808284430013,20,20,STP_VGKm10.00_Ip185uA00001.dat,STP_VGKm10.00_Im185uA00001.dat
190.0,-82.33857019316038,75.94507807148405,-1.9822113619938673,20,20,STP_VGKm10.00_Ip190uA00001.dat,STP_VGKm10.00_Im190uA00001.dat
195.0,-84.48914217562975,78.10227463082698,-1.978899073557086,20,20,STP_VGKm10.00_Ip195uA00001.dat,STP_VGKm10.00_Im195uA00001.dat
200.0,-86.83886138394385,80.29030326762202,-2.059744359316616,20,20,STP_VGKm10.00_Ip200uA00001.dat,STP_VGKm10.00_Im200uA00001.dat
205.0,-89.08534393271736,82.38330379867809,-2.1364853681753413,20,20,STP_VGKm10.00_Ip205uA00001.dat,STP_VGKm10.00_Im205uA00001.dat
210.0,-91.57360252816397,84.56911665605175,-2.287708237211815,20,20,STP_VGKm10.00_Ip210uA00001.dat,STP_VGKm10.00_Im210uA00001.dat
215.0,-93.80399940645778,86.71353922161265,-2.3306953935782655,20,20,STP_VGKm10.00_Ip215uA00001.dat,STP_VGKm10.00_Im215uA00001.dat
220.0,-96.17860650876862,89.03607430008128,-2.3567314054993727,20,20,STP_VGKm10.00_Ip220uA00001.dat,STP_VGKm10.00_Im220uA00001.dat
225.0,-98.79125105860868,90.92400076395269,-2.719090448483696,20,20,STP_VGKm10.00_Ip225uA00001.dat,STP_VGKm10.00_Im225uA00001.dat
230.0,-101.11798277430746,93.25986326428472,-2.7145250561670746,20,20,STP_VGKm10.00_Ip230uA00001.dat,STP_VGKm10.00_Im230uA00001.dat
235.0,-103.51725568031934,95.6655012255018,-2.7113425285644706,20,20,STP_VGKm10.00_Ip235uA00001.dat,STP_VGKm10.00_Im235uA00001.dat
240.0,-105.7697832386999,97.64874637594797,-2.8459837325316695,20,20,STP_VGKm10.00_Ip240uA00001.dat,STP_VGKm10.00_Im240uA00001.dat
245.0,-108.26505389368687,99.77020375063412,-3.0328903726820737,20,20,STP_VGKm10.00_Ip245uA00001.dat,STP_VGKm10.00_Im245uA00001.dat
250.0,-110.51743568521489,102.07805431249389,-3.0051559875162024,20,20,STP_VGKm10.00_Ip250uA00001.dat,STP_VGKm10.00_Im250uA00001.dat
