I_uA,STP_pos_mV,STP_neg_mV,STP_sym_mV,n_pos,n_neg,file_pos,file_neg
0.0,-1.7248650297508374,-1.7248650297508374,0.0,40,40,STP_VGKp0.00_Ip0uA00001.dat,STP_VGKp0.00_Ip0uA00001.dat
5.0,-3.11652435466354,-0.2568059922963234,0.03819985627090583,40,40,STP_VGKp0.00_Ip5uA00001.dat,STP_VGKp0.00_Im5uA00001.dat
10.0,-4.576068696409636,1.1949988851859055,0.034330124138972185,40,40,STP_VGKp0.00_Ip10uA00001.dat,STP_VGKp0.00_Im10uA00001.dat
15.0,-5.995833534290776,2.6349405310188994,0.04441852811489899,40,40,STP_VGKp0.00_Ip15uA00001.dat,STP_VGKp0.00_Im15uA00001.dat
20.0,-7.513573786625846,4.017947588635144,-0.02294806924451387,40,40,STP_VGKp0.00_Ip20uA00001.dat,STP_VGKp0.00_Im20uA00001.dat
25.0,-8.983730119451815,5.400659859774893,-0.06667010008762353,40,40,STP_VGKp0.00_Ip25uA00001.dat,STP_VGKp0.00_Im25uA00001.dat
30.0,-10.533541697047378,6.787350514401271,-0.14823056157221592,40,40,STP_VGKp0.00_Ip30uA00001.dat,STP_VGKp0.00_Im30uA00001.dat
35.0,-11.99389984285159,8.119611461869809,-0.21227916074005315,40,40,STP_VGKp0.00_Ip35uA00001.dat,STP_VGKp0.00_Im35uA00001.dat
40.0,-13.512817763019887,9.564371032301947,-0.2493583356081326,40,40,STP_VGKp0.00_Ip40uA00001.dat,STP_VGKp0.00_Im40uA00001.dat
45.0,-14.970131507835484,10.914056307316015,-0.30317257050889723,40,40,STP_VGKp0.00_Ip45uA00001.dat,STP_VGKp0.00_Im45uA00001.dat
50.0,-16.459255140481904,12.33762659975471,-0.33594924061275955,40,40,STP_VGKp0.00_Ip50uA00001.dat,STP_VGKp0.00_Im50uA00001.dat
55.0,-18.012463008480626,13.70001016490291,-0.4313613920380208,40,40,STP_VGKp0.00_Ip55uA00001.dat,STP_VGKp0.00_Im55uA00001.dat
60.0,-19.513976804712726,15.097725710119873,-0.4832605175455893,40,40,STP_VGKp0.00_Ip60uA00001.dat,STP_VGKp0.00_Im60uA00001.dat
65.0,-20.989118958802592,16.500579789751004,-0.5194045547749566,40,40,STP_VGKp0.00_Ip65uA00001.dat,STP_VGKp0.00_Im65uA00001.dat
70.0,-22.482602213428976,17.932797246457802,-0.5500374537347492,40,40,STP_VGKp0.00_Ip70uA00001.dat,STP_VGKp0.00_Im70uA00001.dat
75.0,-24.0029976389456,19.392228609299405,-0.5805194850722606,40,40,STP_VGKp0.00_Ip75uA00001.dat,STP_VGKp0.00_Im75uA00001.dat
80.0,-25.50769453747357,20.861804688623025,-0.5980798946744346,40,40,STP_VGKp0.00_Ip80uA00001.dat,STP_VGKp0.00_Im80uA00001.dat
85.0,-27.004778634775892,22.2399017346379,-0.6575734203181585,40,40,STP_VGKp0.00_Ip85uA00001.dat,STP_VGKp0.00_Im85uA00001.dat
90.0,-28.53846798997586,23.679772094042537,-0.7044829182158241,40,40,STP_VGKp0.00_Ip90uA00001.dat,STP_VGKp0.00_Im90uA00001.dat
95.0,-30.02685250471154,25.129917420439202,-0.7236025123853322,40,40,STP_VGKp0.00_Ip95uA00001.dat,STP_VGKp0.00_Im95uA00001.dat
