I_uA,STP_pos_mV,STP_neg_mV,STP_sym_mV,n_pos,n_neg,file_pos,file_neg
195.0,-43.62489241513245,39.77609522085473,0.023121258559026137,20,20,STP_VGKp5.00_Ip195uA00001.dat,STP_VGKp5.00_Im195uA00001.dat
200.0,-44.69400949121668,40.84185100782503,0.021440614002059766,20,20,STP_VGKp5.00_Ip200uA00001.dat,STP_VGKp5.00_Im200uA00001.dat
205.0,-45.74712585024501,41.91298120491624,0.030447533033502117,20,20,STP_VGKp5.00_Ip205uA00001.dat,STP_VGKp5.00_Im205uA00001.dat
210.0,-46.79668339065471,42.93902979203286,0.018693056386964946,20,20,STP_VGKp5.00_Ip210uA00001.dat,STP_VGKp5.00_Im210uA00001.dat
215.0,-47.86874384090145,44.048286623052796,0.03729124677355933,20,20,STP_VGKp5.00_Ip215uA00001.dat,STP_VGKp5.00_Im215uA00001.dat
220.0,-48.929033561460386,45.08404418103884,0.025025165487114753,20,20,STP_VGKp5.00_Ip220uA00001.dat,STP_VGKp5.00_Im220uA00001.dat
225.0,-50.038413573020506,46.15898084525046,0.007803491812864882,20,20,STP_VGKp5.00_Ip225uA00001.dat,STP_VGKp5.00_Im225uA00001.dat
230.0,-51.08416610979573,47.26061481888413,0.03574421024208596,20,20,STP_VGKp5.00_Ip230uA00001.dat,STP_VGKp5.00_Im230uA00001.dat
235.0,-52.1422555598599,48.3651372948242,0.05896072318003909,20,20,STP_VGKp5.00_Ip235uA00001.dat,STP_VGKp5.00_Im235uA00001.dat
240.0,-53.137708731028695,49.40135649752704,0.07934373894705948,20,20,STP_VGKp5.00_Ip240uA00001.dat,STP_VGKp5.00_Im240uA00001.dat
245.0,-54.30545467816535,50.56763029434177,0.07860766378609774,20,20,STP_VGKp5.00_Ip245uA00001.dat,STP_VGKp5.00_Im245uA00001.dat
250.0,-55.298112709330674,51.60313984128709,0.10003342167609452,20,20,STP_VGKp5.00_Ip250uA00001.dat,STP_VGKp5.00_Im250uA00001.dat
